,date,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C
975,2019-03-30,528203,319578,113661,514074,292094,91293,25485,12335,5484,4061279,1891656,909140,0.048248495370151245,0.038597775816858484,0.04824873967323884
36,2019-03-31,952968,583955,214265,925075,533201,172597,45980,22540,10338,6999965,3387364,1625435,0.04824925915665584,0.038598864638542354,0.04824866403752363
192,2019-04-01,821816,467564,201136,794106,421045,162998,39654,18049,9705,6208373,2815051,1548005,0.048251676774363116,0.03860220205148386,0.04825093469095537
351,2019-04-02,750936,402717,162717,734307,364291,131428,36235,15546,7852,5700574,2453967,1189830,0.04825311344775054,0.03860279054522158,0.0482555602672124
510,2019-04-03,654760,403642,170817,639149,370899,140964,31596,15582,8243,4743983,2484839,1261509,0.0482558494715621,0.03860351499596177,0.048256321092162956
666,2019-04-04,623042,371942,146513,604095,338110,118545,30066,14359,7070,4612624,2244042,1201209,0.04825677883673974,0.03860548149980373,0.048255103642680174
822,2019-04-05,591875,334890,126551,575055,303016,101391,28564,12929,6107,4308502,1958017,930254,0.04826019007391764,0.03860670667980531,0.04825722436013939
978,2019-04-06,540907,307860,115979,524716,278329,92809,26105,11886,5597,3924859,1883014,905905,0.04826153109499415,0.038608458390177354,0.04825873649540003
39,2019-04-07,926278,617026,208370,896071,567348,167282,44707,23824,10057,6730622,3609772,1623092,0.04826520763744794,0.03861101477085244,0.048265105341459905
195,2019-04-08,807602,501247,177099,781106,456742,141695,38982,19356,8548,6354480,2975918,1308467,0.04826882548582099,0.038615692462997286,0.04826678863234688
354,2019-04-09,736925,410486,160199,717811,371637,128944,35574,15853,7733,5450585,2435701,1213613,0.04827356922346236,0.03862007474067325,0.04827121267923021
513,2019-04-10,685769,376139,154344,665342,338542,124278,33109,14528,7452,4980814,2276614,1129095,0.048280105983210087,0.03862401931200966,0.04828176022391541
669,2019-04-11,633458,355598,135589,614493,320932,108477,30588,13737,6547,4925246,2185893,997668,0.04828733712416609,0.03863070096007289,0.04828562789016808
825,2019-04-12,569529,337123,126343,551162,305552,101291,27505,13025,6102,4303195,2055012,1005745,0.04829429230118221,0.03863575015647108,0.048297096000569875
981,2019-04-13,514346,305847,121309,497091,276991,97871,24844,11819,5860,3738464,1816392,890389,0.04830211569643781,0.038643504758915405,0.04830639111689982
42,2019-04-14,917909,577633,205170,888315,527565,164644,44344,22324,9912,6720062,3687902,1590375,0.04830979977318013,0.038647376448367736,0.048311156601842375
198,2019-04-15,783132,474592,177338,758485,431760,142654,37838,18345,8568,5782069,2934569,1329009,0.04831624809099871,0.03865425460184748,0.04831451803899897
357,2019-04-16,697804,403521,154594,677996,366122,124414,33720,15599,7470,5327340,2525501,1210270,0.048323024803526494,0.038657219822512336,0.04832011591652975
516,2019-04-17,632267,385910,143380,615062,352942,115866,30555,14920,6929,5135545,2340587,1078835,0.048326102738241915,0.03866186416521987,0.0483261263774585
672,2019-04-18,602779,323635,141239,587002,291591,114726,29132,12513,6826,4559689,1890235,1109494,0.04832948725818252,0.03866392695474841,0.04832942742443659
828,2019-04-19,535726,307467,131025,519085,277940,106464,25892,11888,6332,4194288,1986033,1008381,0.04833067650254048,0.038664311942419836,0.04832665521846976
984,2019-04-20,476487,297673,106828,460957,271525,85728,23028,11509,5163,3698704,1806645,842006,0.0483287057149513,0.03866323112946085,0.04833002583592317
45,2019-04-21,841713,521508,213527,814861,475546,174144,40677,20162,10319,6233062,3050563,1620625,0.048326448563821636,0.03866096013867477,0.04832644115264112
201,2019-04-22,738279,407235,171787,718356,367847,139301,35674,15742,8301,5465212,2468144,1283164,0.048320485886771805,0.03865581298267585,0.04832146786427378
360,2019-04-23,636256,353481,151796,617725,318876,123205,30741,13663,7334,4784131,2116817,1137160,0.04831545792888397,0.03865271400725923,0.04831484360589212
519,2019-04-24,568638,347046,130662,550857,316071,105321,27470,13412,6312,4164057,2039144,990381,0.04830841414045491,0.03864617370607931,0.048307847729255636
675,2019-04-25,535126,301390,118586,517590,271327,95008,25848,11646,5728,3892513,1904600,869180,0.04830264274208317,0.0386409635356183,0.048302497765334865
831,2019-04-26,482602,266705,118622,469435,240892,96822,23308,10305,5729,3843007,1710140,918444,0.04829652591576496,0.03863819575935959,0.04829626882028629
987,2019-04-27,429284,259012,96082,416263,235784,77268,20730,10006,4640,3204212,1579303,720986,0.048289710308327356,0.03863141476070607,0.04829208384504902
48,2019-04-28,784130,452778,171142,759775,409609,137096,37861,17489,8263,5734975,2743689,1241483,0.0482840855470394,0.03862599331239592,0.04828154398102161
204,2019-04-29,672405,370345,140579,654367,334517,112499,32462,14304,6787,5056460,2181899,1037103,0.04827745183334449,0.038623445706030865,0.0482789036769361
363,2019-04-30,542214,370080,121452,523887,340901,97331,26174,14292,5863,4154154,2201798,879982,0.04827245331179202,0.03861867704280156,0.04827421532786615
522,2019-05-01,523035,326763,106721,511455,301282,85554,25246,12618,5151,4068765,1917178,875987,0.04826828032540843,0.03861514308535544,0.04826603948613675
678,2019-05-02,488212,277804,115655,472262,250440,93446,23562,10726,5582,3693524,1691551,904012,0.04826182068445675,0.03860995522022721,0.04826423414465436
834,2019-05-03,437626,269836,101393,422771,245387,81587,21119,10417,4893,3361725,1582421,793909,0.04825810166671998,0.03860493040217021,0.048257769274013
990,2019-05-04,389349,256975,91423,376376,235840,73736,18788,9920,4412,2955431,1557347,679911,0.04825490755080917,0.03860297694328242,0.048259190794439036
51,2019-05-05,737113,426786,172199,713956,386084,139069,35567,16474,8309,5632032,2575180,1256778,0.0482517605848764,0.03860014152291781,0.04825231273120053
207,2019-05-06,620351,364773,147237,603139,331876,119597,29931,14080,7104,4568901,2305311,1148719,0.04824849157976694,0.03859934808771483,0.04824874182440555
366,2019-05-07,539629,339134,118371,526458,312194,95534,26035,13089,5711,3935658,2061669,868832,0.04824610982730728,0.03859536348464029,0.04824661445793311
525,2019-05-08,496897,305374,127292,479477,277271,103602,23972,11786,6141,3719162,1875481,926512,0.048243398531285155,0.038595296259668475,0.04824340885523049
681,2019-05-09,482551,272553,107708,466960,245570,86412,23279,10519,5196,3815922,1683032,825157,0.0482415330193078,0.03859432844254145,0.048241541946744904
837,2019-05-10,399344,307936,89413,385426,287702,71573,19264,11884,4313,3026180,1867240,663486,0.048239112143916026,0.038592434791645015,0.04823683357006252
993,2019-05-11,393449,245956,91627,379686,223815,73697,18979,9491,4420,2881832,1517305,663019,0.04823750981702838,0.03858820276797476,0.04823905617339867
54,2019-05-12,735148,424171,172017,710895,382928,138724,35460,16368,8297,5777134,2467575,1287726,0.048235185296022026,0.03858821088664713,0.04823360481812844
210,2019-05-13,611584,381861,140745,590267,347479,113050,29498,14734,6788,4700406,2251465,1049106,0.04823213164503976,0.03858472061823543,0.048229066751927244
369,2019-05-14,559181,312601,131818,543091,282319,106868,26969,12061,6357,4249280,1837222,958691,0.04822946416276662,0.038582730061644074,0.04822558375942587
528,2019-05-15,502744,309041,128094,485045,280566,104168,24245,11923,6177,3751897,1797588,986377,0.04822533933771462,0.03858064140356781,0.04822239917560542
684,2019-05-16,483213,277823,115152,466405,250234,92905,23301,10718,5553,3604386,1724348,853449,0.04822097087619746,0.03857851941703891,0.04822321800750313
840,2019-05-17,448111,258331,105974,433328,233188,85577,21606,9965,5110,3267303,1518045,790345,0.04821573226276525,0.03857454196360483,0.0482193745635722
996,2019-05-18,402091,250838,95532,388411,228425,77107,19385,9675,4606,2936305,1490360,701776,0.04821047971727793,0.03857071097680575,0.04821421094502366
57,2019-05-19,766586,427178,174703,742329,384504,140622,36954,16474,8422,6313975,2520132,1325454,0.048205941668645134,0.03856472009326323,0.048207529349810825
213,2019-05-20,629097,387634,153713,607481,352330,124459,30322,14947,7409,4653528,2408292,1125625,0.048199244313675,0.03855956907804785,0.04820021728806282
372,2019-05-21,571998,346626,121300,556797,316936,97268,27567,13364,5846,4431488,2044807,884743,0.04819422445533026,0.038554522742090896,0.04819455894476504
531,2019-05-22,527766,332722,117717,510094,303560,94319,25432,12827,5673,3976064,1972303,887649,0.048188022722191276,0.03855170382481471,0.048191849945207574
687,2019-05-23,503267,296688,116649,485077,267686,93654,24249,11436,5621,3732308,1777186,859069,0.04818317115964289,0.03854554279242841,0.04818729693353565
843,2019-05-24,462158,284971,107916,446980,259448,87020,22266,10984,5199,3488056,1742605,826069,0.04817832862354433,0.03854427292601703,0.04817635939063716
999,2019-05-25,437091,261118,94930,424222,237625,76125,21057,10063,4573,3205983,1776591,705991,0.048175322758876295,0.03853813218544872,0.048172337511850835
60,2019-05-26,761435,529080,170523,735333,488212,136585,36679,20389,8214,5684649,3243381,1265464,0.04817088786304806,0.0385367052241627,0.04816945514681304
216,2019-05-27,684348,412142,163098,662360,374399,131951,32964,15882,7856,5023239,2600241,1204969,0.04816847568780796,0.038535262118396085,0.04816735950164931
375,2019-05-28,612495,377246,138600,591337,342805,111129,29501,14536,6676,4672731,2280365,1029506,0.04816529114523384,0.03853188635532252,0.048167388167388164
534,2019-05-29,591409,336686,141984,571373,303161,114766,28485,12973,6839,4470050,1980343,1036225,0.048164637332201575,0.03853145066916949,0.04816739914356547
690,2019-05-30,563407,322434,124553,545899,291362,99933,27135,12423,5999,4151580,1952291,984556,0.04816234090098277,0.038528815199389645,0.048164235305452295
846,2019-05-31,524957,306539,117493,506495,276524,94016,25283,11811,5659,3859359,1787739,858234,0.048162039938509246,0.03853017071237265,0.048164571506387616
1002,2019-06-01,484802,287043,113745,467832,259430,91570,23348,11059,5478,3829551,1726429,864478,0.048159867327280004,0.03852732865807562,0.048160358697085584
63,2019-06-02,917605,523479,198805,889180,472894,159123,44192,20169,9575,6895754,3063809,1454007,0.04816015605843473,0.0385287661969248,0.04816277256608234
219,2019-06-03,794156,446000,179953,771003,402869,145116,38247,17184,8667,6083280,2581210,1309545,0.04816056291207269,0.03852914798206278,0.04816257578367685
378,2019-06-04,691207,431463,154232,667685,392938,123512,33289,16624,7428,5085754,2828937,1118166,0.048160681243100835,0.038529375635917795,0.048161211681103794
537,2019-06-05,665153,399780,149735,642676,362455,120073,32034,15403,7211,4997094,2471206,1126627,0.0481603480702936,0.03852869077992896,0.04815841319664741
693,2019-06-06,628928,371551,149189,606285,335368,120145,30290,14316,7185,4790037,2270768,1112357,0.04816131576269462,0.0385303767181356,0.04816038715991126
849,2019-06-07,580413,351493,149813,561091,319143,122271,27954,13543,7215,4441239,2175077,1112965,0.04816225687570747,0.038529928049776244,0.048160039515929856
1005,2019-06-08,571289,315416,123957,554942,284465,99475,27516,12153,5970,4404153,1840232,923547,0.048164764243666516,0.038530068227356884,0.04816186258137903
66,2019-06-09,1057871,582235,232614,1026359,524262,186757,50953,22435,11204,7766517,3432413,1757072,0.048165608093992555,0.038532551289427806,0.04816563061552615
222,2019-06-10,860354,561794,199830,830447,514132,160710,41441,21648,9625,6771868,3455318,1494372,0.048167382263579875,0.03853369740509867,0.048165941049892406
381,2019-06-11,809240,465643,183066,781536,419683,146823,38980,17944,8818,6162421,2717209,1348706,0.048168652068607584,0.038535959952152185,0.048168420132629765
540,2019-06-12,753585,455030,177229,730898,414360,143445,36301,17535,8537,5686411,2707239,1295356,0.04817107559200356,0.03853592070852471,0.048169317662459306
696,2019-06-13,709274,432419,168470,683706,391829,135688,34168,16665,8116,5137992,2583090,1257245,0.04817320245772438,0.03853900961798626,0.048174749213509824
852,2019-06-14,675574,395421,159844,651049,356389,128644,32546,15240,7701,4893073,2357224,1172692,0.04817532942357166,0.038541200391481484,0.04817822376817397
1008,2019-06-15,613117,389557,145164,590956,354782,116858,29539,15015,6994,4745905,2353685,1153463,0.04817840640530274,0.03854378178289698,0.048179989529084345
69,2019-06-16,1158465,692962,270872,1124788,630958,219312,55816,26710,13051,8435728,4320894,1983684,0.048180998131147686,0.038544682103780585,0.04818142886677102
225,2019-06-17,1002372,576903,254435,967400,519624,206882,48297,22238,12259,7832638,3640521,1858919,0.048182710610432056,0.03854720810950888,0.048181264370074875
384,2019-06-18,901381,539472,203093,868912,487718,162503,43433,20796,9786,6818275,3213664,1514307,0.048184951757358985,0.03854880327431266,0.04818482173191592
543,2019-06-19,845605,521425,191250,821732,476988,154336,40747,20101,9216,6270740,3046321,1399421,0.04818680116602905,0.03855012705566477,0.04818823529411765
699,2019-06-20,801777,478390,188709,775639,433864,152358,38637,18443,9094,6200056,2775490,1463917,0.048189209717914086,0.03855222726227555,0.048190600342326015
855,2019-06-21,771895,434315,169570,748748,392069,136098,37198,16744,8172,5757886,2544670,1260952,0.048190492230160836,0.03855266338947538,0.04819248687857522
1011,2019-06-22,669941,428411,180701,645777,390512,147867,32286,16517,8708,5337496,2576174,1321394,0.048192303501353104,0.03855409875096578,0.048190104094609325
72,2019-06-23,1317144,752597,287790,1278990,681416,231068,63477,29016,13870,9925629,4679848,2120469,0.04819290829248738,0.03855449862276889,0.04819486431078217
228,2019-06-24,1120708,647305,262545,1083588,584363,211733,54012,24957,12653,8228707,3918335,2108911,0.04819453416947144,0.03855524057438147,0.04819364299453427
387,2019-06-25,1002400,588644,223684,968268,531996,179128,48311,22696,10780,7467017,3419194,1682754,0.048195331205107744,0.038556411005633284,0.048192986534575565
546,2019-06-26,952591,546370,215891,922287,493479,173624,45911,21066,10405,6905077,3286647,1562262,0.04819592038975804,0.03855628969379724,0.048195617232770244
702,2019-06-27,875231,521276,215114,844737,471557,174215,42183,20099,10368,6396445,3210612,1586896,0.04819641900252619,0.03855730937161887,0.04819769982427922
858,2019-06-28,837586,480395,187214,808224,432436,149797,40369,18523,9023,6122738,2937582,1388058,0.04819684187653566,0.038557853433112334,0.048196181909472585
1014,2019-06-29,738733,465084,191998,713737,424094,156747,35605,17933,9254,5703245,2712458,1400596,0.04819738660652766,0.03855862596864222,0.048198418733528474
75,2019-06-30,1416403,820854,329917,1365621,739255,265125,68269,31651,15902,10532709,5066705,2390864,0.04819885301005434,0.038558623092535334,0.04820000181863923
231,2019-07-01,1222282,716031,268753,1184335,648941,215491,58914,27610,12954,9757420,4239190,2045729,0.048200006217877706,0.0385597830261539,0.04820039218166867
390,2019-07-02,1093582,633354,242471,1059429,573081,194584,52712,24423,11687,8054939,3949895,1881912,0.048201232280706885,0.038561373260451504,0.048199578506295596
549,2019-07-03,972523,654119,231902,940007,601669,187375,46878,25224,11178,7104857,3784710,1727061,0.04820245896498078,0.03856179074449756,0.048201395417029606
705,2019-07-04,962221,555400,226987,931215,501819,183386,46383,21418,10942,7471537,3244015,1646802,0.048204102799668684,0.0385631976953547,0.04820540383369973
861,2019-07-05,894504,532889,200188,863169,481984,160208,43120,20551,9650,7034289,3220421,1554103,0.04820548594528364,0.038565254677803446,0.048204687593661956
