,date,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C
161,2019-01-14,5427,7692,354260,2599,3848,286030,130,147,8472,19731,23947,1300430,0.023954302561267734,0.019110764430577222,0.023914638965731382
320,2019-01-15,4973,7297,312491,2384,3670,251340,119,139,7464,18878,21464,1207338,0.023929217775990348,0.019048924215430998,0.02388548790205158
479,2019-01-16,4348,6178,293151,2082,3091,237638,104,118,6992,16427,18167,1058008,0.02391904323827047,0.019100032372936226,0.02385118931881522
635,2019-01-17,3797,5828,272888,1812,2935,222239,90,111,6499,13931,17658,999952,0.0237029233605478,0.01904598490048044,0.023815631321274663
791,2019-01-18,4031,5913,251328,1928,2966,201474,96,112,5976,14745,17433,931368,0.023815430414289258,0.018941315744968712,0.023777692895339955
947,2019-01-19,3546,5531,230877,1686,2781,185049,84,105,5480,13009,16158,836566,0.023688663282571912,0.018983908877237388,0.02373558214980271
8,2019-01-20,5544,9485,422090,2628,4809,343933,131,180,9999,21043,27102,1579326,0.023629148629148628,0.018977332630469163,0.02368926058423559
164,2019-01-21,4662,7486,360127,2212,3768,294194,110,142,8514,17860,21478,1338448,0.023595023595023596,0.01896874165108202,0.02364165974781119
323,2019-01-22,4529,7614,316988,2139,3837,254599,107,144,7478,16803,21604,1144308,0.023625524398321926,0.018912529550827423,0.02359079838984441
482,2019-01-23,4138,6912,296764,1950,3472,238508,97,130,6985,14896,19568,1076714,0.02344127597873369,0.01880787037037037,0.02353722149586877
638,2019-01-24,3684,5958,276780,1736,2982,223842,87,112,6500,13070,16987,990656,0.023615635179153095,0.018798254447801276,0.02348435580605535
794,2019-01-25,3350,6108,255495,1579,3104,207078,78,114,5985,11731,18208,971997,0.023283582089552238,0.018664047151277015,0.02342511595138848
950,2019-01-26,2802,4847,235755,1310,2426,191749,65,91,5509,10675,13763,845050,0.023197715917202,0.018774499690530223,0.0233674789506055
11,2019-01-27,5555,9852,428138,2597,4948,344523,129,184,9979,21657,28717,1592865,0.023222322232223223,0.01867641088103938,0.023307905394989465
167,2019-01-28,4514,8046,365318,2115,4052,296404,105,150,8493,16118,22755,1363854,0.023260965883916705,0.018642803877703208,0.02324823852095982
326,2019-01-29,4193,7677,322335,1955,3860,258564,97,142,7473,15486,23120,1224949,0.02313379441927021,0.01849680864921193,0.023183954581413747
485,2019-01-30,3659,7464,301557,1694,3778,242390,85,138,6973,12995,21838,1141012,0.02323039081716316,0.018488745980707395,0.023123323285481685
641,2019-01-31,3241,6531,281297,1503,3307,227952,75,120,6486,11276,18883,1068908,0.023141005862388153,0.018373909049150206,0.023057480172202334
797,2019-02-01,3055,5933,260385,1409,2973,209320,70,109,5987,10668,16399,976909,0.022913256955810146,0.018371818641496715,0.02299287593371354
953,2019-02-02,2701,6243,238643,1246,3199,192804,62,115,5472,9703,17442,875244,0.022954461310625694,0.018420631106839662,0.022929648051692276
14,2019-02-03,4873,10485,436051,2229,5278,349781,111,192,9970,17129,29617,1525567,0.022778575825979887,0.018311874105865523,0.022864297983492758
170,2019-02-04,4003,8482,372321,1831,4262,300167,91,155,8489,13655,24351,1450729,0.022732950287284538,0.01827399198302287,0.022800218091378138
329,2019-02-05,3584,8353,328619,1637,4241,264039,81,152,7471,12593,23000,1173186,0.022600446428571428,0.018197054950317253,0.022734534521740984
488,2019-02-06,3335,7680,307831,1517,3877,246495,76,139,6978,11658,21136,1136609,0.022788605697151423,0.018098958333333335,0.022668282271766
644,2019-02-07,2953,6905,287177,1339,3483,230816,67,125,6491,10142,20106,997033,0.022688791059939047,0.018102824040550327,0.022602785041977595
800,2019-02-08,2465,6230,266419,1113,3159,215999,56,112,6005,8643,17481,949392,0.022718052738336714,0.017977528089887642,0.022539683731265414
956,2019-02-09,2381,5621,245075,1071,2816,196784,54,101,5508,8744,16043,836665,0.02267954640907182,0.017968333036826187,0.022474752626746915
17,2019-02-10,3774,9833,448219,1693,4973,365419,85,176,10045,13501,27242,1513541,0.02252252252252252,0.017898911827519577,0.02241091966204021
173,2019-02-11,3404,8920,381729,1527,4513,308902,76,159,8531,11972,24260,1419678,0.022326674500587545,0.017825112107623317,0.022348315165994725
332,2019-02-12,3140,7923,338015,1404,3978,271336,70,141,7534,10953,22013,1233969,0.022292993630573247,0.017796289284361985,0.02228895167374229
491,2019-02-13,2754,7678,316723,1228,3891,255547,61,137,7040,9259,21783,1109452,0.02214960058097313,0.017843188330294347,0.022227624769909353
647,2019-02-14,2372,6472,296251,1053,3258,240529,53,115,6568,8043,18583,1086485,0.022344013490725127,0.01776885043263288,0.02217038929826397
803,2019-02-15,2221,6133,274531,985,3088,222276,49,108,6070,8273,16854,934764,0.022062134173795586,0.017609652698516224,0.022110435615649963
959,2019-02-16,2264,5897,252353,1008,2960,202577,50,104,5566,7846,16447,835228,0.022084805653710248,0.01763608614549771,0.022056405115057083
20,2019-02-17,3826,11574,460536,1688,5863,369692,84,204,10133,13246,31836,1548197,0.02195504443282802,0.01762571280456195,0.0220026230305557
176,2019-02-18,3431,9847,393276,1522,4983,315568,75,173,8633,12331,29836,1296416,0.02185951617604197,0.0175688026810196,0.021951504795614276
335,2019-02-19,2916,8387,349281,1288,4227,280565,64,147,7650,9804,23953,1216245,0.02194787379972565,0.01752712531298438,0.021902136102450464
494,2019-02-20,2534,7624,328226,1109,3831,263941,55,133,7174,8982,20900,1106225,0.021704814522494082,0.017444910807974816,0.021856891288319632
650,2019-02-21,2257,6916,306864,990,3489,248719,49,121,6694,7565,18617,1059341,0.021710234824988923,0.017495662232504337,0.021814223890713802
806,2019-02-22,2303,6785,284444,1010,3406,227752,50,118,6194,7607,18180,955245,0.021710811984368215,0.017391304347826087,0.021775815274711365
962,2019-02-23,1995,6442,262409,869,3247,210239,43,112,5705,6907,18226,920860,0.02155388471177945,0.017385904998447686,0.02174087016832502
23,2019-02-24,3673,11576,480638,1600,5821,385048,80,201,10436,12536,30503,1611403,0.021780560849441872,0.017363510711817555,0.0217128067277244
179,2019-02-25,3161,10799,410637,1381,5501,329612,69,187,8906,10379,31338,1336242,0.02182853527364758,0.017316418186869156,0.021688255076868376
338,2019-02-26,2919,8458,366134,1280,4235,293613,63,147,7934,10631,22700,1257836,0.02158273381294964,0.017379995270749585,0.02166966192705403
497,2019-02-27,2334,7816,344990,1011,3938,279075,51,135,7470,7919,20968,1209816,0.021850899742930592,0.017272262026612077,0.021652801530479146
653,2019-02-28,2250,7587,322633,978,3837,260773,49,131,6982,7555,19722,1078609,0.021777777777777778,0.01726637669698168,0.02164068771638363
809,2019-03-01,2115,6539,300821,921,3277,243309,46,113,6507,6931,17701,1014118,0.021749408983451537,0.0172809298057807,0.021630803700539523
965,2019-03-02,2024,7052,277050,876,3569,221864,44,122,5992,7030,19957,950779,0.021739130434782608,0.017300056721497446,0.02162786500631655
26,2019-03-03,3532,11305,509953,1529,5659,410951,76,196,11028,13019,31595,1664625,0.021517553793884484,0.0173374613003096,0.021625522352059896
182,2019-03-04,2731,8653,438664,1184,4332,358755,59,150,9487,9430,25071,1505492,0.021603808128890515,0.01733502831387958,0.02162703116736272
341,2019-03-05,2781,8737,389171,1205,4370,312864,60,151,8418,9418,23429,1290483,0.021574973031283712,0.017282820189996568,0.021630594263190216
500,2019-03-06,2799,8902,365691,1219,4479,292738,61,154,7913,9301,24081,1245809,0.021793497677742052,0.017299483262188272,0.021638487138048244
656,2019-03-07,2465,7927,343274,1073,3992,276851,53,137,7431,8384,21081,1139727,0.02150101419878296,0.017282704680206887,0.02164743033262059
812,2019-03-08,2336,7761,319394,1014,3914,256368,51,134,6918,7937,21233,1057615,0.02183219178082192,0.017265816260791135,0.02165976818600224
968,2019-03-09,2182,6805,295865,947,3406,237304,47,118,6413,7198,18065,968772,0.02153987167736022,0.017340191036002938,0.02167542629239687
29,2019-03-10,3726,11468,544273,1622,5745,441711,81,199,11806,13498,33094,1969500,0.021739130434782608,0.01735263341471922,0.021691320348428085
185,2019-03-11,3365,13129,463515,1465,6775,373462,73,228,10063,11121,35076,1521828,0.021693907875185735,0.017366136034732273,0.021710192766145647
344,2019-03-12,2920,9758,414836,1272,4941,335671,63,170,9015,9475,26527,1365032,0.021575342465753426,0.017421602787456445,0.021731479428014927
503,2019-03-13,3132,9530,390098,1373,4801,312575,68,166,8486,10656,25818,1332477,0.021711366538952746,0.017418677859391395,0.02175350809283821
659,2019-03-14,2641,8016,366840,1154,4024,297014,58,140,7989,8723,21855,1237577,0.021961378265808407,0.01746506986027944,0.021777886817140987
815,2019-03-15,2428,7979,341309,1059,4038,276204,53,139,7442,8071,20983,1143241,0.02182866556836903,0.017420729414713624,0.02180428878230577
971,2019-03-16,2566,7497,315348,1127,3765,252727,56,131,6885,8895,20855,1063370,0.021823850350740453,0.017473656129118314,0.021833022565546634
32,2019-03-17,4714,13310,579124,2078,6680,465792,103,233,12662,15904,36311,1906461,0.02184980907933814,0.01750563486100676,0.021864056747777676
188,2019-03-18,3788,10943,497535,1667,5499,402879,83,192,10894,12646,29910,1680808,0.02191129883843717,0.017545462852965366,0.021895947018802698
347,2019-03-19,3134,9091,443930,1379,4568,362680,69,159,9735,10631,25396,1467242,0.022016592214422464,0.01748982510174898,0.02192913297141441
506,2019-03-20,2990,9291,417359,1317,4716,340874,66,163,9168,10826,24541,1444252,0.022073578595317726,0.017543859649122806,0.021966700131062226
662,2019-03-21,3058,9187,390336,1346,4639,314927,67,162,8588,11254,24940,1352167,0.021909744931327666,0.017633612713617068,0.022001557632398753
818,2019-03-22,2601,7798,364578,1148,3948,298448,57,138,8036,9175,21135,1249256,0.02191464821222607,0.017696845344960247,0.022041922441836864
974,2019-03-23,3014,7716,336092,1344,3871,270235,67,136,7421,10439,20651,1244604,0.022229595222295954,0.01762571280456195,0.02208026373731002
35,2019-03-24,4826,13637,617763,2137,6876,501716,107,241,13667,16240,36906,2051418,0.02217157065893079,0.017672508616264574,0.022123370936750826
191,2019-03-25,4515,12574,528496,2006,6349,425792,100,223,11715,15469,35651,1820048,0.0221483942414175,0.017735008748210594,0.022166676758196845
350,2019-03-26,4113,10423,471080,1833,5219,379800,91,185,10463,13940,27783,1718959,0.02212496960855823,0.017749208481243405,0.022210664855226287
509,2019-03-27,3582,10549,443031,1599,5390,361158,80,188,9860,12856,28564,1641041,0.02233389168062535,0.01782159446393023,0.022255778940977043
665,2019-03-28,3620,8696,415805,1622,4349,337181,81,155,9274,12180,23339,1478965,0.022375690607734807,0.01782428702851886,0.022303724101441783
821,2019-03-29,3724,9037,385731,1672,4532,309286,83,162,8621,13026,25174,1365888,0.02228786251342642,0.017926302976651542,0.02234977225060988
977,2019-03-30,3121,7745,357412,1401,3895,290192,70,139,8005,10726,20930,1246158,0.02242870874719641,0.017947062621045836,0.022397121529215584
38,2019-03-31,6071,14718,654177,2738,7416,529644,136,264,14685,22551,39809,2227538,0.022401581288090923,0.017937219730941704,0.02244805304986265
194,2019-04-01,5253,13949,559008,2374,7121,452688,118,251,12576,18961,39441,1983108,0.022463354273748334,0.017994121442397305,0.022496994676283702
353,2019-04-02,5096,11501,497476,2311,5774,399976,115,207,11217,17630,32056,1802579,0.022566718995290422,0.017998434918702722,0.022547821402439515
512,2019-04-03,5106,11099,467148,2323,5564,373749,115,201,10557,17680,31944,1621948,0.02252252252252252,0.018109739616181637,0.022598833774307072
668,2019-04-04,4339,11085,436620,1970,5657,352705,98,201,9889,15792,31652,1595892,0.022585849274026272,0.018132611637347768,0.022648985387751362
824,2019-04-05,4280,9627,406251,1949,4851,326813,97,175,9222,14669,26399,1464561,0.02266355140186916,0.018178040926560713,0.022700251814764764
980,2019-04-06,3878,8676,375154,1773,4387,303773,88,158,8536,14258,24681,1347364,0.022692109334708613,0.018211157215306594,0.022753322635504353
41,2019-04-07,7623,16179,685621,3484,8124,549885,174,295,15637,27502,45449,2407652,0.022825659189295553,0.018233512578033254,0.022807061043929516
197,2019-04-08,6819,14294,585574,3140,7220,470456,156,261,13387,24237,41004,2044509,0.02287725472943247,0.01825940954246537,0.022861329225682833
356,2019-04-09,5630,12074,520718,2590,6111,421868,129,221,11932,20210,33155,1950716,0.022912966252220248,0.018303793274805368,0.022914514190022238
515,2019-04-10,5394,12101,487801,2482,6159,394130,124,222,11205,19432,34939,1711831,0.022988505747126436,0.018345591273448477,0.02297043261493929
671,2019-04-11,5680,10394,455570,2642,5213,366509,131,191,10490,22619,30561,1596531,0.02306338028169014,0.01837598614585338,0.023026099172465262
827,2019-04-12,5413,9665,422414,2518,4833,338723,125,178,9750,18879,27932,1467704,0.023092554960280804,0.018416968442834972,0.0230816213477773
983,2019-04-13,4491,8293,390086,2089,4165,317032,104,154,9026,15895,24626,1433479,0.023157425963037187,0.018569878210539008,0.02313848741046846
44,2019-04-14,8894,18368,708344,4128,9334,568253,206,341,16431,31182,54276,2466050,0.023161682032831123,0.018564895470383275,0.023196356572512792
200,2019-04-15,7727,14494,605505,3594,7293,485826,180,270,14080,27626,40520,2247649,0.02329493982140546,0.01862839795777563,0.023253317478798687
359,2019-04-16,7050,13888,534939,3289,7052,428739,164,259,12471,25102,38967,2118242,0.02326241134751773,0.018649193548387098,0.023312938484574875
518,2019-04-17,6503,12324,501699,3060,6281,406347,152,230,11725,23437,35341,1798738,0.02337382746424727,0.01866277182732879,0.02337058674623629
674,2019-04-18,6938,12533,465311,3282,6383,372318,163,235,10902,26882,37599,1710415,0.023493802248486597,0.018750498683475624,0.02342949124349091
830,2019-04-19,5871,11255,431552,2763,5746,347547,138,212,10137,20995,31819,1536957,0.02350536535513541,0.018836072856508217,0.023489637401749964
986,2019-04-20,5717,9486,397047,2702,4776,318826,135,179,9351,22962,27253,1603379,0.02361378345285989,0.018869913556820578,0.023551367974068562
47,2019-04-21,8900,14892,727271,4211,7514,596599,210,281,17172,33632,43305,2586997,0.02359550561797753,0.01886919151222133,0.023611556077445684
203,2019-04-22,8223,12552,618725,3907,6288,504565,195,238,14647,30773,38036,2342342,0.023713973002553814,0.018961121733588274,0.023672875671744312
362,2019-04-23,7800,11851,545410,3709,5938,441023,185,225,12945,28017,35008,2011027,0.023717948717948717,0.018985739600033753,0.023734438312462185
521,2019-04-24,7937,11965,508076,3797,6026,408824,189,228,12090,30321,34300,1922642,0.02381252362353534,0.019055578771416632,0.023795652618899536
677,2019-04-25,8065,11975,470630,3892,6071,377556,192,229,11228,29213,35163,1688231,0.02380657160570366,0.019123173277661797,0.023857382657289164
833,2019-04-26,6476,10384,436311,3101,5275,353629,155,199,10436,24134,31774,1566771,0.023934527486102534,0.019164098613251156,0.023918718528755864
989,2019-04-27,7010,10228,398281,3387,5181,318853,168,196,9551,25827,31266,1441997,0.023965763195435093,0.019163081736409855,0.023980556441306516
50,2019-04-28,11619,16001,727874,5593,8016,587643,279,308,17501,43016,47089,2940808,0.024012393493415957,0.019248796950190612,0.02404399662578963
206,2019-04-29,11133,14610,616272,5399,7330,493577,268,282,14856,41178,44277,2239051,0.02407257702326417,0.019301848049281315,0.024106238803645142
365,2019-04-30,9398,13521,543288,4547,6846,436477,227,261,13130,34658,41719,1982776,0.0241540753351777,0.019303305968493455,0.02416766061462797
524,2019-05-01,8838,11930,507304,4296,6021,409146,214,231,12291,34501,36156,1906188,0.024213622991627066,0.01936295054484493,0.02422807626196521
680,2019-05-02,8706,11833,469324,4243,5992,376491,211,230,11400,32708,36501,1811460,0.02423615897082472,0.01943716724414772,0.02429025577213183
836,2019-05-03,8219,9740,433648,4035,4884,349497,200,190,10560,30032,29451,1673467,0.024333860566978952,0.019507186858316223,0.024351547799136626
992,2019-05-04,7295,9202,396834,3571,4637,320093,178,180,9688,27440,27622,1610909,0.024400274160383824,0.019560965007607043,0.024413230721157964
53,2019-05-05,13143,15754,721230,6443,7900,583326,322,308,17652,49237,47149,2878932,0.024499733698546754,0.019550590326266343,0.024474855455263924
209,2019-05-06,10788,12739,612719,5310,6402,499734,265,250,15034,42969,38758,2400084,0.02456433073785688,0.019624774315095378,0.024536533060016092
368,2019-05-07,10481,13692,535853,5157,6966,431173,258,269,13181,38824,42233,2086528,0.024615971758419997,0.019646508910312593,0.024598164048722317
527,2019-05-08,10009,10951,500298,4957,5484,403993,247,216,12337,40753,32907,2021377,0.02467778998900989,0.019724226098073235,0.024659303055378994
683,2019-05-09,9797,10435,462318,4863,5220,371496,242,206,11429,36805,32560,1763917,0.024701439216086557,0.019741255390512698,0.024721079430175767
839,2019-05-10,8908,9723,425305,4429,4887,342824,221,193,10540,37132,29287,1602716,0.02480916030534351,0.019849840584181835,0.024782215116210718
995,2019-05-11,8995,9204,387253,4502,4620,310212,223,183,9621,35095,28920,1471190,0.02479155086158977,0.019882659713168188,0.02484422328555234
56,2019-05-12,16173,16715,701373,8110,8416,563414,403,333,17467,62374,53595,2680080,0.024918073332096703,0.01992222554591684,0.024904009706675334
212,2019-05-13,12602,12775,596084,6294,6391,482090,315,255,14881,51631,38445,2265903,0.024996032375813364,0.019960861056751468,0.02496460230437321
371,2019-05-14,11998,14401,519449,6017,7388,417189,300,288,12999,46473,45157,1980158,0.025004167361226872,0.01999861120755503,0.025024593367202554
530,2019-05-15,11123,10569,485296,5601,5288,391777,279,212,12173,42902,32526,1847180,0.025083161017711048,0.02005866212508279,0.02508366028156012
686,2019-05-16,10448,9946,447961,5272,4988,361571,263,200,11262,42006,30173,1703492,0.02517228177641654,0.020108586366378443,0.025140581434544524
842,2019-05-17,10305,9968,409706,5212,5021,328361,260,201,10324,43962,31136,1557435,0.025230470645317808,0.020164526484751203,0.02519855701405398
998,2019-05-18,9402,8907,373581,4752,4471,299174,237,180,9435,36057,27257,1428595,0.02520740268028079,0.020208824520040417,0.0252555670657769
59,2019-05-19,17416,16059,674766,8844,8073,541231,441,325,17080,66621,49521,2704268,0.02532154340836013,0.02023787284388816,0.025312478696318426
215,2019-05-20,15730,14400,568075,8038,7278,454524,399,292,14412,60759,44112,2435418,0.02536554354736173,0.020277777777777777,0.025369889539233376
374,2019-05-21,12875,11545,499922,6581,5821,403742,327,235,12711,50507,37117,1999469,0.025398058252427184,0.020355132091814637,0.025425966450766318
533,2019-05-22,11921,9393,464694,6148,4702,378834,304,191,11841,46517,29665,1777306,0.025501216340910998,0.020334291493665495,0.025481284458159562
689,2019-05-23,10794,9457,427796,5513,4751,346124,276,193,10924,41623,30379,1690011,0.02556976097832129,0.02040816326530612,0.02553553562913164
845,2019-05-24,11662,9217,389608,6023,4622,311972,298,189,9970,46076,30326,1534477,0.025553078374206825,0.020505587501356188,0.025589823617584856
1001,2019-05-25,9503,8106,355747,4927,4120,290080,244,166,9123,39789,25262,1380098,0.025676102283489426,0.020478657784357267,0.025644629469819845
62,2019-05-26,15204,11968,646192,7838,5988,532319,391,246,16606,62121,38098,2639381,0.0257169166008945,0.020554812834224598,0.025698244484611384
218,2019-05-27,15446,14550,537601,7967,7449,432156,398,300,13844,65279,46557,2112834,0.025767188916224266,0.020618556701030927,0.025751440194493685
377,2019-05-28,14104,12254,470159,7282,6217,376282,364,253,12133,55701,39300,2000729,0.02580828133862734,0.02064631956912029,0.025806163446833945
536,2019-05-29,13183,10824,435300,6823,5465,348791,341,224,11256,53794,33990,1701738,0.02586664643859516,0.020694752402069475,0.02585802894555479
692,2019-05-30,10804,8809,402989,5616,4463,329285,280,183,10442,42344,27853,1620831,0.0259163272861903,0.020774208196163015,0.02591137723362176
848,2019-05-31,11239,8446,366737,5845,4238,294865,292,175,9522,44724,26636,1459616,0.02598095916006762,0.020719867392848687,0.025964110520618318
1004,2019-06-01,10568,8391,331829,5514,4253,266368,275,175,8633,43744,28133,1395800,0.026021953065859197,0.02085567870337266,0.026016412067661355
65,2019-06-02,19519,13749,598172,10212,6885,480043,509,287,15593,80806,43964,2397779,0.026077155591987294,0.02087424539966543,0.02606775308774065
221,2019-06-03,15331,10474,505421,8060,5250,411314,400,219,13201,60785,34034,2003407,0.026090926880177417,0.020908917319075807,0.026118819756203244
380,2019-06-04,14460,10901,438436,7586,5521,352364,378,228,11474,64976,36422,1737947,0.026141078838174275,0.020915512338317586,0.02617029623479824
539,2019-06-05,14117,9345,404738,7437,4676,324339,370,196,10612,56366,30425,1683018,0.026209534603669336,0.020973782771535582,0.026219430841680297
695,2019-06-06,11904,8104,373197,6310,4094,304288,313,170,9804,47652,25545,1566146,0.026293682795698926,0.020977295162882527,0.026270307639128933
851,2019-06-07,11124,8682,339023,5867,4439,274067,293,183,8923,47158,29378,1378455,0.026339446242358865,0.021078092605390463,0.026319748217672547
1007,2019-06-08,9459,6733,308899,5000,3411,252440,249,142,8145,41436,21383,1240289,0.026324135743736123,0.021090152977870192,0.02636784191596606
68,2019-06-09,18739,12825,552444,9910,6468,445962,495,271,14592,77539,42033,2202703,0.026415497091627087,0.021130604288499024,0.026413536937680563
224,2019-06-10,16535,10809,462985,8763,5432,372127,438,229,12251,68008,34397,1982193,0.02648926519504082,0.021186048663151078,0.02646090046113805
383,2019-06-11,13786,8883,404551,7327,4468,327999,365,188,10723,57131,31070,1623997,0.02647613520963296,0.021164021164021163,0.02650592879513337
542,2019-06-12,13047,8014,372566,6934,4007,301046,346,170,9891,56103,25630,1585957,0.026519506399938685,0.021212877464437233,0.026548316271479414
698,2019-06-13,11411,7099,342209,6071,3559,278511,303,151,9100,46582,22788,1398958,0.02655332573832267,0.02127060149316805,0.026591936506637756
854,2019-06-14,12036,7951,308527,6421,4028,246909,321,169,8217,48289,25983,1287563,0.02666999002991027,0.02125518802666331,0.026633001325653834
1010,2019-06-15,11015,6648,279356,5891,3338,223824,294,142,7451,45540,21376,1148115,0.02669087607807535,0.021359807460890494,0.026672060023768953
71,2019-06-16,19379,11564,501561,10431,5836,405463,518,247,13396,78008,39405,2010341,0.026729965426492596,0.021359391214112764,0.026708615701779046
227,2019-06-17,14104,8628,423458,7568,4354,347663,377,185,11325,58275,28244,1788181,0.026730005672149743,0.021441817338896614,0.026744092684516527
386,2019-06-18,15354,8958,363680,8271,4511,290981,411,192,9738,63539,29674,1514205,0.026768268855021492,0.021433355659745478,0.02677628684557853
545,2019-06-19,14043,7944,334793,7571,3988,268310,376,170,8975,58364,26215,1411072,0.026774905646941537,0.021399798590130917,0.02680760947809542
701,2019-06-20,11950,6780,307589,6414,3390,247777,321,146,8254,49028,22924,1280264,0.02686192468619247,0.021533923303834808,0.026834509686627286
857,2019-06-21,11056,6434,279124,5953,3237,224996,297,138,7497,48210,22927,1151653,0.026863241678726484,0.021448554553932235,0.02685903039509322
1013,2019-06-22,9789,5499,252385,5287,2763,204628,263,118,6784,41208,19555,1075978,0.02686689140872408,0.021458446990361885,0.026879568912574044
74,2019-06-23,18869,10807,449326,10202,5450,361072,508,233,12086,79014,35063,1887460,0.02692246541947109,0.02156009993522717,0.026898065101952702
230,2019-06-24,15032,8795,376809,8167,4469,306226,405,189,10141,61529,28520,1553741,0.02694252261841405,0.021489482660602615,0.02691283913070017
389,2019-06-25,13720,7869,326177,7427,3974,262367,369,169,8782,56601,26950,1352348,0.026895043731778426,0.02147668064557123,0.026924032043951596
548,2019-06-26,12201,6520,300527,6644,3283,244243,329,140,8093,54589,21386,1223484,0.026965002868617326,0.02147239263803681,0.026929360756271482
704,2019-06-27,9971,6260,275287,5374,3183,224636,269,135,7413,40643,20812,1139845,0.02697823688697222,0.02156549520766773,0.026928260324679335
860,2019-06-28,9175,5457,249939,4943,2755,203534,247,118,6729,37079,18794,1033708,0.026920980926430516,0.02162360271211288,0.026922569106862075
1016,2019-06-29,8576,5516,224318,4624,2815,181883,231,119,6037,37540,17962,976586,0.02693563432835821,0.021573604060913704,0.026912686454051836
77,2019-06-30,17797,10062,398199,9673,5093,319183,479,217,10710,75973,32801,1669707,0.02691464853627016,0.021566289008149473,0.026896099688849043
233,2019-07-01,13537,7407,334967,7321,3715,270533,364,159,9002,56267,25272,1431290,0.026889266454901382,0.021466180639935196,0.026874289109076417
392,2019-07-02,11920,6686,289994,6447,3364,233731,320,144,7785,49758,22785,1218992,0.026845637583892617,0.02153754113072091,0.0268453830079243
551,2019-07-03,11047,5989,265988,5966,2996,213814,296,128,7131,46749,19629,1106221,0.02679460487010048,0.021372516279846387,0.026809480126923017
707,2019-07-04,9768,5503,242971,5253,2755,195265,261,118,6503,39714,17773,1049680,0.02671990171990172,0.02144284935489733,0.02676451099102362
863,2019-07-05,8799,5697,219749,4718,2893,176187,235,122,5870,37860,19396,912677,0.026707580406864415,0.021414779708618572,0.026712294481431087
1019,2019-07-06,7691,4684,198646,4122,2359,159844,205,100,5295,33267,16011,890249,0.026654531270315952,0.02134927412467976,0.02665545744691562
80,2019-07-07,12142,8637,356326,6471,4411,289705,323,184,9475,54822,30651,1485315,0.02660187777960797,0.021303693412064374,0.026590818520119217
236,2019-07-08,11599,7983,295526,6204,4075,236920,308,169,7837,46973,26925,1193423,0.026554013277006638,0.021169986220719028,0.026518817295263362
395,2019-07-09,9251,5473,258664,4948,2741,209777,245,116,6839,39189,18592,1026651,0.02648362339206572,0.021194957061940436,0.026439705563974885
554,2019-07-10,8354,5412,237199,4415,2709,190445,220,114,6250,34362,17176,939162,0.026334689968877185,0.02106430155210643,0.026349183596895434
710,2019-07-11,7202,4904,217175,3785,2456,174722,189,103,5702,30628,15614,888701,0.026242710358233824,0.02100326264274062,0.02625532404742719
866,2019-07-12,6676,4826,196807,3516,2441,158222,175,101,5147,26727,15269,844093,0.0262133013780707,0.020928305014504767,0.026152525062624804
1022,2019-07-13,5091,4075,178852,2656,2068,145587,133,85,4658,20263,13716,715845,0.026124533490473386,0.020858895705521473,0.0260438798559703
