,date,ttt_group,clicks_A,clicks_B,clicks_C,cost_A,cost_B,cost_C,bookings_A,bookings_B,bookings_C,booking_rev_A,booking_rev_B,booking_rev_C,booking_con_A,booking_con_B,booking_con_C,profit_A,profit_B,profit_C
315,2019-01-08,short,83516,49606,18759,80882,45013,15074,4028,1914,905,624390,303750,143804,0.048230279227932375,0.03858404225295327,0.04824350978197132,93658.5,45562.5,21570.6
474,2019-01-09,short,77543,43870,18064,74990,39510,14561,3738,1692,871,628046,256751,132445,0.04820551178056046,0.03856849783451106,0.048217449069973425,94206.9,38512.65,19866.75
476,2019-01-09,long,4593,6443,288611,2207,3229,232682,110,124,6928,17278,18791,1044994,0.023949488351839757,0.019245693000155207,0.024004629068192136,2591.7,2818.65,156749.1
475,2019-01-09,medium,80297,10744,101883,62690,6523,81946,3134,335,3976,473930,51033,614953,0.039030100750962055,0.03118019359642591,0.03902515630674401,71089.5,7654.95,92242.95
630,2019-01-10,short,70666,42377,15211,68589,38585,12185,3404,1633,733,535717,258067,112086,0.04817026575722413,0.03853505439271303,0.048188810729077644,80357.55,38710.05,16812.9
631,2019-01-10,medium,77862,9613,98424,60980,5796,79375,3042,300,3845,460781,46213,585829,0.03906912229328813,0.031207739519400812,0.03906567503860847,69117.15,6931.95,87874.35
632,2019-01-10,long,4413,6115,268276,2122,3063,215585,106,117,6437,16867,18688,1003729,0.024019941083163382,0.01913327882256746,0.023993946532675305,2530.05,2803.2,150559.35
787,2019-01-11,medium,74924,10691,92335,58630,6559,74166,2930,334,3611,500621,51094,568299,0.03910629437830335,0.03124123094191376,0.03910759733578816,75093.15,7664.1,85244.85
786,2019-01-11,short,66527,36706,14775,64500,33038,11869,3203,1414,711,495744,227579,109094,0.048145865588407714,0.038522312428485805,0.048121827411167516,74361.6,34136.85,16364.1
788,2019-01-11,long,4075,5782,248005,1958,2903,199174,98,111,5947,16139,17052,922702,0.024049079754601226,0.019197509512279488,0.023979355254934377,2420.85,2557.8,138405.3
944,2019-01-12,long,3799,5677,227350,1824,2867,182088,91,109,5448,14362,16808,860846,0.023953672018952356,0.01920028183899947,0.023963052562128877,2154.3,2521.2,129126.9
942,2019-01-12,short,59074,34811,14651,56873,31370,11849,2843,1340,705,465991,202027,107349,0.04812607915495819,0.038493579615638734,0.048119582281072965,69898.65,30304.05,16102.35
943,2019-01-12,medium,71136,8906,88999,56079,5415,72154,2785,279,3484,427415,44953,529313,0.03915035987404408,0.031327195149337524,0.039146507264126565,64112.25,6742.95,79396.95
5,2019-01-13,long,6473,9551,415381,3116,4827,336438,155,183,9944,24288,29623,1495347,0.0239456202688089,0.019160297351062717,0.02393946762129226,3643.2,4443.45,224302.05
4,2019-01-13,medium,128847,16787,172639,101018,10201,140393,5049,526,6766,795529,80124,1020371,0.03918601131574658,0.031333770179305415,0.03919160792173263,119329.35,12018.6,153055.65
3,2019-01-13,short,109700,64097,25477,105743,57771,20462,5277,2467,1225,794086,387316,193915,0.04810391978122151,0.038488540805341906,0.048082584291714095,119112.9,58097.4,29087.25
159,2019-01-14,short,94674,54771,22656,91389,49375,18290,4552,2107,1089,733881,329788,168891,0.04808078247459704,0.038469262931113184,0.04806673728813559,110082.15,49468.2,25333.65
161,2019-01-14,long,5427,7692,354260,2599,3848,286030,130,147,8472,19731,23947,1300430,0.023954302561267734,0.019110764430577222,0.023914638965731382,2959.65,3592.05,195064.5
160,2019-01-14,medium,118406,14532,147005,92981,8779,118604,4645,456,5767,720654,72562,870085,0.039229430940999614,0.03137902559867878,0.03922995816468828,108098.1,10884.3,130512.75
319,2019-01-15,medium,109015,13347,133048,85867,8086,107440,4281,419,5225,662219,67410,803038,0.03926982525340549,0.03139282235708399,0.039271541097949614,99332.85,10111.5,120455.7
320,2019-01-15,long,4973,7297,312491,2384,3670,251340,119,139,7464,18878,21464,1207338,0.023929217775990348,0.019048924215430998,0.02388548790205158,2831.7,3219.6,181100.7
318,2019-01-15,short,81651,53920,19620,78763,49384,15836,3924,2073,943,596789,327656,145540,0.04805819891979278,0.038445845697329374,0.048063200815494395,89518.35,49148.4,21831.0
477,2019-01-16,short,80927,49482,18414,78044,44873,14758,3888,1902,885,657401,294629,133507,0.04804329828116698,0.03843821995877289,0.048061257738677095,98610.15,44194.35,20026.05
478,2019-01-16,medium,105237,13263,127804,82902,8065,103155,4138,417,5025,648234,66157,798422,0.039320771211646094,0.031440850486315314,0.03931801821539232,97235.1,9923.55,119763.3
479,2019-01-16,long,4348,6178,293151,2082,3091,237638,104,118,6992,16427,18167,1058008,0.02391904323827047,0.019100032372936226,0.02385118931881522,2464.05,2725.05,158701.2
635,2019-01-17,long,3797,5828,272888,1812,2935,222239,90,111,6499,13931,17658,999952,0.0237029233605478,0.01904598490048044,0.023815631321274663,2089.65,2648.7,149992.8
633,2019-01-17,short,76012,49032,17638,73068,44619,14125,3651,1884,847,555455,285288,128248,0.04803188970162606,0.038423886441507585,0.048021317609706314,83318.25,42793.2,19237.2
634,2019-01-17,medium,103877,12403,119847,82131,7519,96467,4089,391,4717,622561,69030,728223,0.0393638630303147,0.031524631137628,0.03935851544052,93384.15,10354.5,109233.45
789,2019-01-18,short,73633,45949,16992,70942,41736,13629,3536,1765,816,534180,268936,129197,0.04802194668151508,0.03841215260397397,0.0480225988700565,80127.0,40340.4,19379.55
790,2019-01-18,medium,95932,11400,117526,75728,6896,95159,3780,359,4631,585839,57108,713461,0.03940291039486303,0.03149122807017544,0.03940404676412028,87875.85,8566.2,107019.15
791,2019-01-18,long,4031,5913,251328,1928,2966,201474,96,112,5976,14745,17433,931368,0.023815430414289258,0.018941315744968712,0.023777692895339955,2211.75,2614.95,139705.2
946,2019-01-19,medium,97804,11673,102997,77922,7130,82591,3858,368,4063,587904,60250,623191,0.03944623941761073,0.031525743167994516,0.039447750905366175,88185.6,9037.5,93478.65
947,2019-01-19,long,3546,5531,230877,1686,2781,185049,84,105,5480,13009,16158,836566,0.023688663282571912,0.018983908877237388,0.02373558214980271,1951.35,2423.7,125484.9
945,2019-01-19,short,72856,41482,15974,70469,37395,12781,3498,1593,767,532671,240652,129612,0.04801251784341715,0.038402198543946775,0.04801552522849631,79900.65,36097.8,19441.8
7,2019-01-20,medium,179077,22359,196475,141829,13653,157422,7071,706,7758,1136687,108024,1174109,0.0394858077810104,0.03157565186278456,0.03948593968698308,170503.05,16203.6,176116.35
8,2019-01-20,long,5544,9485,422090,2628,4809,343933,131,180,9999,21043,27102,1579326,0.023629148629148628,0.018977332630469163,0.02368926058423559,3156.45,4065.3,236898.9
6,2019-01-20,short,132562,83019,31839,127954,75580,25714,6364,3189,1529,985840,500023,232915,0.04800772468731612,0.038412893434033174,0.04802286503973115,147876.0,75003.45,34937.25
164,2019-01-21,long,4662,7486,360127,2212,3768,294194,110,142,8514,17860,21478,1338448,0.023595023595023596,0.01896874165108202,0.02364165974781119,2679.0,3221.7,200767.2
163,2019-01-21,medium,154520,19058,174526,122186,11601,140122,6108,603,6899,945209,90912,1101670,0.03952886357753042,0.031640256060447056,0.03952992677308825,141781.35,13636.8,165250.5
162,2019-01-21,short,123038,66963,30212,119551,60301,24630,5907,2572,1450,974617,391833,237578,0.048009558022724684,0.03840927079133253,0.0479941745001986,146192.55,58774.95,35636.7
322,2019-01-22,medium,140968,15974,158932,111981,9665,128158,5578,506,6289,858543,78634,961161,0.039569263946427555,0.03167647427068987,0.03957038230186495,128781.45,11795.1,144174.15
323,2019-01-22,long,4529,7614,316988,2139,3837,254599,107,144,7478,16803,21604,1144308,0.023625524398321926,0.018912529550827423,0.02359079838984441,2520.45,3240.6,171646.2
321,2019-01-22,short,104077,73385,26450,99935,67453,21400,4996,2818,1270,797949,425139,192100,0.04800292091432305,0.0384002180282074,0.04801512287334594,119692.35,63770.85,28815.0
480,2019-01-23,short,111857,63839,24383,108355,57653,19524,5369,2451,1170,830145,393274,180074,0.04799878416192102,0.038393458544150126,0.04798425132264283,124521.75,58991.1,27011.1
481,2019-01-23,medium,140778,15872,146299,112350,9642,117319,5577,503,5795,851309,76135,878859,0.039615564932020626,0.03169102822580645,0.03961066035994778,127696.35,11420.25,131828.85
482,2019-01-23,long,4138,6912,296764,1950,3472,238508,97,130,6985,14896,19568,1076714,0.02344127597873369,0.01880787037037037,0.02353722149586877,2234.4,2935.2,161507.1
638,2019-01-24,long,3684,5958,276780,1736,2982,223842,87,112,6500,13070,16987,990656,0.023615635179153095,0.018798254447801276,0.02348435580605535,1960.5,2548.05,148598.4
637,2019-01-24,medium,132910,14761,141172,105658,8916,113075,5270,468,5598,864388,73060,883415,0.03965089158076894,0.03170516902648872,0.039653755702263906,129658.2,10959.0,132512.25
636,2019-01-24,short,103763,66040,25782,100696,60568,21023,4981,2536,1238,812258,385933,187281,0.04800362364233879,0.03840096910963053,0.04801799705220697,121838.7,57889.95,28092.15
794,2019-01-25,long,3350,6108,255495,1579,3104,207078,78,114,5985,11731,18208,971997,0.023283582089552238,0.018664047151277015,0.02342511595138848,1759.65,2731.2,145799.55
793,2019-01-25,medium,122432,13913,137203,97651,8456,111001,4860,442,5446,758358,67143,827000,0.0396955044432828,0.03176884927765399,0.039693009628069355,113753.7,10071.45,124050.0
792,2019-01-25,short,99710,61936,28603,96015,56195,23563,4786,2378,1373,760389,368280,218227,0.04799919767325243,0.038394471712735724,0.048001957836590566,114058.35,55242.0,32734.05
950,2019-01-26,long,2802,4847,235755,1310,2426,191749,65,91,5509,10675,13763,845050,0.023197715917202,0.018774499690530223,0.0233674789506055,1601.25,2064.45,126757.5
949,2019-01-26,medium,118080,14393,124588,94044,8812,99895,4692,458,4950,746274,68796,747923,0.039735772357723576,0.031821024108941845,0.03973095322181912,111941.1,10319.4,112188.45
948,2019-01-26,short,97099,63609,23191,93354,58006,18642,4661,2443,1113,764482,379127,169863,0.04800255409427492,0.03840651480136459,0.0479927558104437,114672.3,56869.05,25479.45
9,2019-01-27,short,189934,118627,44164,182416,107422,35346,9117,4556,2120,1408158,719603,333481,0.04800088451777986,0.03840609641987069,0.04800289828819853,211223.7,107940.45,50022.15
11,2019-01-27,long,5555,9852,428138,2597,4948,344523,129,184,9979,21657,28717,1592865,0.023222322232223223,0.01867641088103938,0.023307905394989465,3248.55,4307.55,238929.75
10,2019-01-27,medium,214657,25781,238325,171255,15781,192639,8538,820,9479,1352353,128639,1461757,0.03977508303945364,0.031806369031457275,0.039773418651001785,202852.95,19295.85,219263.55
166,2019-01-28,medium,196317,21097,199112,157234,12786,159755,7816,672,7927,1221961,103328,1240331,0.039813159329044355,0.03185287007631417,0.039811764233195386,183294.15,15499.2,186049.65
167,2019-01-28,long,4514,8046,365318,2115,4052,296404,105,150,8493,16118,22755,1363854,0.023260965883916705,0.018642803877703208,0.02324823852095982,2417.7,3413.25,204578.1
165,2019-01-28,short,168187,108785,39366,161586,98975,31543,8074,4178,1890,1241542,641008,286796,0.04800608846105823,0.03840603024314014,0.04801097393689986,186231.3,96151.2,43019.4
324,2019-01-29,short,157900,94175,42422,152058,85017,34663,7580,3617,2037,1143125,569335,315137,0.048005066497783404,0.03840722059994691,0.04801753806986941,171468.75,85400.25,47270.55
325,2019-01-29,medium,176665,19198,180004,141033,11613,144036,7040,612,7173,1077101,96177,1177232,0.03984943254181643,0.03187832065840192,0.03984911446412302,161565.15,14426.55,176584.8
326,2019-01-29,long,4193,7677,322335,1955,3860,258564,97,142,7473,15486,23120,1224949,0.02313379441927021,0.01849680864921193,0.023183954581413747,2322.9,3468.0,183742.35
483,2019-01-30,short,158230,93940,37778,152165,84639,30374,7597,3608,1814,1163598,549168,278066,0.048012387031536374,0.03840749414519906,0.04801736460373762,174539.7,82375.2,41709.9
484,2019-01-30,medium,165466,17607,175410,132240,10634,141213,6600,562,6996,1048586,90260,1079183,0.039887348458293545,0.0319191230760493,0.039883701043270055,157287.9,13539.0,161877.45
485,2019-01-30,long,3659,7464,301557,1694,3778,242390,85,138,6973,12995,21838,1141012,0.02323039081716316,0.018488745980707395,0.023123323285481685,1949.25,3275.7,171151.8
639,2019-01-31,short,152608,95705,35609,146942,86931,28584,7327,3676,1710,1165494,590958,276476,0.048011899769343676,0.038409696463089706,0.04802156758122946,174824.1,88643.7,41471.4
640,2019-01-31,medium,164284,15935,159659,131963,9562,127791,6559,509,6374,1049820,77074,986045,0.03992476443232451,0.03194226545340446,0.03992258500930107,157473.0,11561.1,147906.75
641,2019-01-31,long,3241,6531,281297,1503,3307,227952,75,120,6486,11276,18883,1068908,0.023141005862388153,0.018373909049150206,0.023057480172202334,1691.4,2832.45,160336.2
795,2019-02-01,short,146327,96087,33842,141014,87856,27159,7026,3691,1625,1115413,565406,249881,0.048015745556185804,0.03841310479045032,0.04801725666331777,167311.95,84810.9,37482.15
796,2019-02-01,medium,151765,15116,153183,122243,9126,123529,6064,483,6121,924306,73896,959928,0.0399565117121866,0.03195289759195554,0.03995874215807237,138645.9,11084.4,143989.2
797,2019-02-01,long,3055,5933,260385,1409,2973,209320,70,109,5987,10668,16399,976909,0.022913256955810146,0.018371818641496715,0.02299287593371354,1600.2,2459.85,146536.35
953,2019-02-02,long,2701,6243,238643,1246,3199,192804,62,115,5472,9703,17442,875244,0.022954461310625694,0.018420631106839662,0.022929648051692276,1455.45,2616.3,131286.6
952,2019-02-02,medium,142694,15488,140875,114456,9412,112815,5706,495,5634,932417,79009,874732,0.03998766591447433,0.03196022727272727,0.039992901508429456,139862.55,11851.35,131209.8
951,2019-02-02,short,146596,83161,37032,141689,74879,30137,7040,3195,1778,1069812,496528,269832,0.04802313842123932,0.038419451425548035,0.04801252970403975,160471.8,74479.2,40474.8
13,2019-02-03,medium,265241,26041,262481,212975,15644,210484,10616,834,10505,1621868,141923,1581358,0.040023978193416555,0.032026419876348834,0.04002194444550272,243280.2,21288.45,237203.7
12,2019-02-03,short,275571,170168,64992,265302,154246,52233,13234,6538,3121,2025128,1015594,514652,0.048023921239898244,0.038420854684782096,0.0480212949286066,303769.2,152339.1,77197.8
14,2019-02-03,long,4873,10485,436051,2229,5278,349781,111,192,9970,17129,29617,1525567,0.022778575825979887,0.018311874105865523,0.022864297983492758,2569.35,4442.55,228835.05
169,2019-02-04,medium,224214,22374,232364,179760,13448,187127,8981,717,9307,1409356,109451,1410169,0.04005548270848386,0.03204612496647895,0.04005353669243084,211403.4,16417.65,211525.35
170,2019-02-04,long,4003,8482,372321,1831,4262,300167,91,155,8489,13655,24351,1450729,0.022732950287284538,0.01827399198302287,0.022800218091378138,2048.25,3652.65,217609.35
168,2019-02-04,short,248241,152362,56184,239528,138312,45023,11922,5854,2698,1824250,909213,404963,0.048025910304905314,0.03842165369317809,0.048020788836679484,273637.5,136381.95,60744.45
327,2019-02-05,short,228588,137792,57401,221522,125345,46802,10979,5295,2757,1660325,805902,427948,0.04802964285089331,0.03842748490478402,0.04803052211633944,249048.75,120885.3,64192.2
329,2019-02-05,long,3584,8353,328619,1637,4241,264039,81,152,7471,12593,23000,1173186,0.022600446428571428,0.018197054950317253,0.022734534521740984,1888.95,3450.0,175977.9
328,2019-02-05,medium,192627,21071,215942,154984,12857,176242,7722,676,8656,1221151,107225,1340092,0.04008783815352988,0.03208200844762944,0.04008483759528021,183172.65,16083.75,201013.8
488,2019-02-06,long,3335,7680,307831,1517,3877,246495,76,139,6978,11658,21136,1136609,0.022788605697151423,0.018098958333333335,0.022668282271766,1748.7,3170.4,170491.35
487,2019-02-06,medium,200324,19293,187717,162071,11650,150642,8036,619,7530,1208159,95743,1146653,0.0401150136778419,0.03208417560773338,0.040113575222276085,181223.85,14361.45,171997.95
486,2019-02-06,short,215679,146457,53400,207596,134310,43169,10360,5628,2565,1667416,903480,396250,0.0480343473402603,0.03842766136135521,0.048033707865168536,250112.4,135522.0,59437.5
642,2019-02-07,short,215455,131596,57963,207479,119151,47369,10350,5057,2784,1722343,761520,423937,0.04803787333781996,0.03842821970272653,0.048030640236012626,258351.45,114228.0,63590.55
643,2019-02-07,medium,187615,19090,177205,151708,11601,142272,7531,613,7114,1209974,96091,1173253,0.04014071369560003,0.0321110529072813,0.04014559408594565,181496.1,14413.65,175987.95
644,2019-02-07,long,2953,6905,287177,1339,3483,230816,67,125,6491,10142,20106,997033,0.022688791059939047,0.018102824040550327,0.022602785041977595,1521.3,3015.9,149554.95
799,2019-02-08,medium,172066,16575,170777,138512,9959,137345,6912,533,6860,1044642,86224,1042684,0.040170632199272374,0.03215686274509804,0.040169343646978224,156696.3,12933.6,156402.6
800,2019-02-08,long,2465,6230,266419,1113,3159,215999,56,112,6005,8643,17481,949392,0.022718052738336714,0.017977528089887642,0.022539683731265414,1296.45,2622.15,142408.8
798,2019-02-08,short,211654,128302,52098,203581,115923,42056,10169,4931,2503,1592919,764823,377835,0.04804539484252601,0.038432760206388056,0.04804407078966563,238937.85,114723.45,56675.25
954,2019-02-09,short,204404,123688,48411,196701,111783,38911,9821,4754,2326,1524900,714074,376343,0.04804700495097943,0.03843541814889076,0.04804693148251431,228735.0,107111.1,56451.45
955,2019-02-09,medium,161701,16671,155534,130320,10114,124742,6500,536,6252,1054147,87747,948035,0.040197648746760996,0.0321516405734509,0.04019699872696645,158122.05,13162.05,142205.25
956,2019-02-09,long,2381,5621,245075,1071,2816,196784,54,101,5508,8744,16043,836665,0.02267954640907182,0.017968333036826187,0.022474752626746915,1311.6,2406.45,125499.75
16,2019-02-10,medium,294408,27456,292986,238431,16530,237136,11842,883,11785,1872124,133710,1802506,0.04022309176381077,0.032160547785547784,0.040223764958052605,280818.6,20056.5,270375.9
15,2019-02-10,short,387588,231434,97422,373451,209073,78987,18625,8897,4682,3201530,1421242,709174,0.04805360331073202,0.038442925412860686,0.048058959988503624,480229.5,213186.3,106376.1
17,2019-02-10,long,3774,9833,448219,1693,4973,365419,85,176,10045,13501,27242,1513541,0.02252252252252252,0.017898911827519577,0.02241091966204021,2025.15,4086.3,227031.15
171,2019-02-11,short,343909,207666,85144,330872,187585,68799,16529,7985,4092,2607506,1211665,618649,0.0480621327153404,0.038451166777421435,0.04805975758714648,391125.9,181749.75,92797.35
172,2019-02-11,medium,250830,27164,250939,202011,16570,202110,10095,875,10100,1574754,140382,1577997,0.04024638201172109,0.03221175084670888,0.04024882541175345,236213.1,21057.3,236699.55
173,2019-02-11,long,3404,8920,381729,1527,4513,308902,76,159,8531,11972,24260,1419678,0.022326674500587545,0.017825112107623317,0.022348315165994725,1795.8,3639.0,212951.7
330,2019-02-12,short,314579,189461,82742,302539,171019,67341,15121,7286,3977,2302079,1094821,635308,0.048067417087599616,0.03845646333546218,0.048065069734838414,345311.85,164223.15,95296.2
331,2019-02-12,medium,225415,22979,223636,181596,13915,179985,9078,740,9006,1365099,114701,1395115,0.04027238648714593,0.03220331607119544,0.04027079718828811,204764.85,17205.15,209267.25
332,2019-02-12,long,3140,7923,338015,1404,3978,271336,70,141,7534,10953,22013,1233969,0.022292993630573247,0.017796289284361985,0.02228895167374229,1642.95,3301.95,185095.35
489,2019-02-13,short,303999,198265,69106,292776,181011,55304,14615,7625,3322,2198560,1172323,520541,0.04807581603886855,0.03845862860313217,0.04807107921164588,329784.0,175848.45,78081.15
491,2019-02-13,long,2754,7678,316723,1228,3891,255547,61,137,7040,9259,21783,1109452,0.02214960058097313,0.017843188330294347,0.022227624769909353,1388.85,3267.45,166417.8
490,2019-02-13,medium,212675,22406,210223,171454,13634,169231,8570,722,8471,1326552,109726,1307088,0.04029622663688727,0.03222351155940373,0.04029530546134343,198982.8,16458.9,196063.2
646,2019-02-14,medium,202672,18009,197010,164676,10812,159509,8172,581,7943,1350988,90619,1205309,0.04032130733401752,0.03226164695430063,0.04031775036800162,202648.2,13592.85,180796.35
645,2019-02-14,short,301095,183375,68429,290326,166189,54826,14478,7054,3290,2242599,1061881,506952,0.048084491605639414,0.03846762099522836,0.04807903082026626,336389.85,159282.15,76042.8
647,2019-02-14,long,2372,6472,296251,1053,3258,240529,53,115,6568,8043,18583,1086485,0.022344013490725127,0.01776885043263288,0.02217038929826397,1206.45,2787.45,162972.75
802,2019-02-15,medium,180975,18078,190187,146241,10953,154642,7301,583,7673,1141626,94029,1173061,0.04034258875535295,0.032249142604270385,0.04034450304174313,171243.9,14104.35,175959.15
801,2019-02-15,short,294404,167861,68956,285344,151661,55744,14158,6458,3316,2132106,1030274,497633,0.04809037920680426,0.0384723074448502,0.048088636231799986,319815.9,154541.1,74644.95
803,2019-02-15,long,2221,6133,274531,985,3088,222276,49,108,6070,8273,16854,934764,0.022062134173795586,0.017609652698516224,0.022110435615649963,1240.95,2528.1,140214.6
958,2019-02-16,medium,177312,17957,164730,143186,10891,131807,7157,580,6649,1090366,91062,1108208,0.04036387836130662,0.03229938185665757,0.04036301827232441,163554.9,13659.3,166231.2
959,2019-02-16,long,2264,5897,252353,1008,2960,202577,50,104,5566,7846,16447,835228,0.022084805653710248,0.01763608614549771,0.022056405115057083,1176.9,2467.05,125284.2
957,2019-02-16,short,269749,162485,73971,260343,147191,60731,12975,6252,3558,2005610,954507,561797,0.04810027099266355,0.038477397913653566,0.048099931054061726,300841.5,143176.05,84269.55
19,2019-02-17,medium,327307,28708,304017,266581,17249,245338,13219,928,12278,2075168,143406,1899925,0.04038715945580144,0.03232548418559287,0.040385899472726854,311275.2,21510.9,284988.75
20,2019-02-17,long,3826,11574,460536,1688,5863,369692,84,204,10133,13246,31836,1548197,0.02195504443282802,0.01762571280456195,0.0220026230305557,1986.9,4775.4,232229.55
18,2019-02-17,short,522162,319366,113933,505353,290662,91158,25120,12291,5481,3931833,2031277,830097,0.04810767539575841,0.03848562464382558,0.04810722091053514,589774.95,304691.55,124514.55
175,2019-02-18,medium,275124,25414,264884,223183,15307,213860,11117,822,10704,1741435,126909,1624165,0.04040723455605472,0.032344377114975995,0.04041014179791909,261215.25,19036.35,243624.75
176,2019-02-18,long,3431,9847,393276,1522,4983,315568,75,173,8633,12331,29836,1296416,0.02185951617604197,0.0175688026810196,0.021951504795614276,1849.65,4475.4,194462.4
174,2019-02-18,short,463374,275920,102565,448392,250245,82198,22295,10621,4935,3396416,1648705,782670,0.048114482038267146,0.03849304146129313,0.04811582898649637,509462.4,247305.75,117400.5
333,2019-02-19,short,415663,252929,100041,400086,228793,80588,20003,9737,4814,3075161,1469450,740064,0.048123118968972464,0.03849696950527618,0.0481202706890175,461274.15,220417.5,111009.6
334,2019-02-19,medium,252459,24102,225964,205452,14624,181360,10207,780,9136,1637911,117382,1470678,0.0404303273006706,0.032362459546925564,0.04043121913225115,245686.65,17607.3,220601.7
335,2019-02-19,long,2916,8387,349281,1288,4227,280565,64,147,7650,9804,23953,1216245,0.02194787379972565,0.01752712531298438,0.021902136102450464,1470.6,3592.95,182436.75
494,2019-02-20,long,2534,7624,328226,1109,3831,263941,55,133,7174,8982,20900,1106225,0.021704814522494082,0.017444910807974816,0.021856891288319632,1347.3,3135.0,165933.75
493,2019-02-20,medium,215434,20928,235782,174311,12652,192940,8715,677,9538,1321798,107366,1467283,0.04045322465349016,0.03234900611620795,0.04045262148934185,198269.7,16104.9,220092.45
492,2019-02-20,short,403617,241422,95876,389385,218418,77284,19426,9295,4614,3153263,1544256,708780,0.04812978640641995,0.038501047957518374,0.048124661020484794,472989.45,231638.4,106317.0
648,2019-02-21,short,382672,233307,93330,370109,212113,75670,18420,8984,4492,2886150,1488842,712455,0.04813521762762888,0.03850720295576215,0.04813029036751312,432922.5,223326.3,106868.25
